edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Botucatu,BOTUCATU,-48.50131036029183,-23.233994331063506,-48.45118436743797,-23.18386833820964,671.9
Botucatu,BOTUCATU,-48.45118436743797,-23.233994331063506,-48.401058374584096,-23.18386833820964,385.4
Botucatu,BOTUCATU,-48.401058374584096,-23.233994331063506,-48.350932381730225,-23.18386833820964,471.6
Botucatu,BOTUCATU,-48.350932381730225,-23.233994331063506,-48.30080638887635,-23.18386833820964,51.4
Botucatu,BOTUCATU,-48.70181433170731,-23.284120323917378,-48.65168833885344,-23.233994331063506,166.7
Botucatu,BOTUCATU,-48.50131036029183,-23.284120323917378,-48.45118436743797,-23.233994331063506,66.0
Botucatu,BOTUCATU,-48.45118436743797,-23.284120323917378,-48.401058374584096,-23.233994331063506,309.2
Botucatu,BOTUCATU,-48.401058374584096,-23.284120323917378,-48.350932381730225,-23.233994331063506,459.3
Botucatu,BOTUCATU,-48.70181433170731,-23.334246316771246,-48.65168833885344,-23.284120323917378,459.9
Fernandópolis,FERNANDOPOLIS,-50.11420834711596,-20.13132846597707,-50.06408235426209,-20.0812024731232,78.8
Fernandópolis,FERNANDOPOLIS,-50.11420834711596,-20.181454458830938,-50.06408235426209,-20.13132846597707,64.0
Franca,FRANCA,-47.3356730898494,-20.161732270555287,-47.28554709699553,-20.11160627770142,640.7
Franca,FRANCA,-47.48605106841101,-20.21185826340916,-47.43592507555714,-20.161732270555287,124.4
Franca,FRANCA,-47.43592507555714,-20.21185826340916,-47.38579908270327,-20.161732270555287,31.1
Franca,FRANCA,-47.38579908270327,-20.21185826340916,-47.3356730898494,-20.161732270555287,209.7
Franca,FRANCA,-47.3356730898494,-20.21185826340916,-47.28554709699553,-20.161732270555287,525.7
Franca,FRANCA,-47.586303054118744,-20.261984256263027,-47.53617706126488,-20.21185826340916,199.3
Franca,FRANCA,-47.53617706126488,-20.261984256263027,-47.48605106841101,-20.21185826340916,240.3
Franca,FRANCA,-47.48605106841101,-20.261984256263027,-47.43592507555714,-20.21185826340916,36.1
Franca,FRANCA,-47.636429046972616,-20.3121102491169,-47.586303054118744,-20.261984256263027,64.9
Franca,FRANCA,-47.586303054118744,-20.3121102491169,-47.53617706126488,-20.261984256263027,247.0
Franca,FRANCA,-47.53617706126488,-20.3121102491169,-47.48605106841101,-20.261984256263027,195.6
Franca,FRANCA,-47.636429046972616,-20.362236241970766,-47.586303054118744,-20.3121102491169,43.3
Franca,FRANCA,-47.586303054118744,-20.362236241970766,-47.53617706126488,-20.3121102491169,228.3
Franca,FRANCA,-47.53617706126488,-20.362236241970766,-47.48605106841101,-20.3121102491169,338.0
Franca,FRANCA,-47.48605106841101,-20.362236241970766,-47.43592507555714,-20.3121102491169,308.6
Franca,FRANCA,-47.586303054118744,-20.412362234824634,-47.53617706126488,-20.362236241970766,46.2
Franca,FRANCA,-47.53617706126488,-20.412362234824634,-47.48605106841101,-20.362236241970766,344.3
Franca,FRANCA,-47.48605106841101,-20.412362234824634,-47.43592507555714,-20.362236241970766,126.8
Franca,FRANCA,-47.43592507555714,-20.412362234824634,-47.38579908270327,-20.362236241970766,42.8
Franca,FRANCA,-47.636429046972616,-20.462488227678506,-47.586303054118744,-20.412362234824634,139.3
Franca,FRANCA,-47.586303054118744,-20.462488227678506,-47.53617706126488,-20.412362234824634,183.5
Franca,FRANCA,-47.53617706126488,-20.462488227678506,-47.48605106841101,-20.412362234824634,288.7
Franca,FRANCA,-47.48605106841101,-20.462488227678506,-47.43592507555714,-20.412362234824634,181.1
Franca,FRANCA,-47.43592507555714,-20.462488227678506,-47.38579908270327,-20.412362234824634,145.3
Franca,FRANCA,-47.38579908270327,-20.462488227678506,-47.3356730898494,-20.412362234824634,131.0
Franca,FRANCA,-47.636429046972616,-20.512614220532374,-47.586303054118744,-20.462488227678506,119.9
Franca,FRANCA,-47.586303054118744,-20.512614220532374,-47.53617706126488,-20.462488227678506,432.6
Franca,FRANCA,-47.53617706126488,-20.512614220532374,-47.48605106841101,-20.462488227678506,138.8
Franca,FRANCA,-47.48605106841101,-20.512614220532374,-47.43592507555714,-20.462488227678506,142.6
Franca,FRANCA,-47.43592507555714,-20.512614220532374,-47.38579908270327,-20.462488227678506,37.6
Franca,FRANCA,-47.38579908270327,-20.512614220532374,-47.3356730898494,-20.462488227678506,67.5
Franca,FRANCA,-47.586303054118744,-20.562740213386242,-47.53617706126488,-20.512614220532374,94.4
Franca,FRANCA,-47.53617706126488,-20.562740213386242,-47.48605106841101,-20.512614220532374,40.8
Franca,FRANCA,-47.3356730898494,-20.562740213386242,-47.28554709699553,-20.512614220532374,180.8
Franca,FRANCA,-47.28554709699553,-20.562740213386242,-47.23542110414166,-20.512614220532374,44.3
Franca,FRANCA,-47.586303054118744,-20.612866206240113,-47.53617706126488,-20.562740213386242,60.1
Franca,FRANCA,-47.53617706126488,-20.612866206240113,-47.48605106841101,-20.562740213386242,55.4
Franca,FRANCA,-47.43592507555714,-20.612866206240113,-47.38579908270327,-20.562740213386242,37.4
Franca,FRANCA,-47.23542110414166,-20.612866206240113,-47.18529511128779,-20.562740213386242,42.2
Franca,FRANCA,-47.53617706126488,-20.66299219909398,-47.48605106841101,-20.612866206240113,38.3
Franca,FRANCA,-47.48605106841101,-20.66299219909398,-47.43592507555714,-20.612866206240113,133.8
Franca,FRANCA,-47.43592507555714,-20.66299219909398,-47.38579908270327,-20.612866206240113,155.2
Franca,FRANCA,-47.3356730898494,-20.66299219909398,-47.28554709699553,-20.612866206240113,210.5
Franca,FRANCA,-47.38579908270327,-20.713118191947853,-47.3356730898494,-20.66299219909398,405.8
Franca,FRANCA,-47.3356730898494,-20.713118191947853,-47.28554709699553,-20.66299219909398,287.6
Franca,FRANCA,-47.38579908270327,-20.76324418480172,-47.3356730898494,-20.713118191947853,101.0
Franca,FRANCA,-47.3356730898494,-20.76324418480172,-47.28554709699553,-20.713118191947853,35.2
Franca,FRANCA,-47.28554709699553,-20.76324418480172,-47.23542110414166,-20.713118191947853,160.7
Franca,FRANCA,-47.636429046972616,-20.86349617050946,-47.586303054118744,-20.81337017765559,52.2
Franca,FRANCA,-47.28554709699553,-20.86349617050946,-47.23542110414166,-20.81337017765559,202.4
Franca,FRANCA,-47.23542110414166,-20.86349617050946,-47.18529511128779,-20.81337017765559,93.8
Franca,FRANCA,-47.68655503982649,-20.91362216336333,-47.636429046972616,-20.86349617050946,146.3
Franca,FRANCA,-47.636429046972616,-20.91362216336333,-47.586303054118744,-20.86349617050946,48.5
Franca,FRANCA,-47.38579908270327,-20.91362216336333,-47.3356730898494,-20.86349617050946,91.4
Franca,FRANCA,-47.3356730898494,-20.91362216336333,-47.28554709699553,-20.86349617050946,96.0
Franca,FRANCA,-47.28554709699553,-20.91362216336333,-47.23542110414166,-20.86349617050946,233.3
